Input1,Input2,Input3,Input4,Output1,Output2,normalisedKPI_1,normalisedKPI_2,normalised_threshold_1,normalised_threshold_2
-23.297329732973296,-20.0,-1.9891989198919902,-1.9891989198919902,2.629362521842218,0.12562657641729758,-0.5426792204409244,-0.6096057270301918,1.372534185984296,1.0814299669333853
-23.277327732773276,-20.0,-1.983198319831983,-1.983198319831983,2.6388271795217317,0.12624280746202976,-0.5424287481512405,-0.6095926806844403,1.372534185984296,1.0814299669333853
-23.257325732573257,-20.0,-1.9771977197719774,-1.9771977197719774,2.648321429636402,0.12686184684078855,-0.5421774927286382,-0.6095795748829099,1.372534185984296,1.0814299669333853
-23.237323732373238,-20.0,-1.971197119711972,-1.971197119711972,2.6578453465023113,0.1274837062265114,-0.54192545220642,-0.6095664093784707,1.372534185984296,1.0814299669333853
-23.217321732173215,-20.0,-1.9651965196519665,-1.9651965196519665,2.6673990045521516,0.12810839733503077,-0.541672624614802,-0.6095531839230847,1.372534185984296,1.0814299669333853
-23.197319731973195,-20.0,-1.9591959195919593,-1.9591959195919593,2.6769824783351273,0.12873593192520227,-0.5414190079809177,-0.6095398982678025,1.372534185984296,1.0814299669333853
-23.177317731773176,-20.0,-1.9531953195319538,-1.9531953195319538,2.686595842516888,0.12936632179903798,-0.5411646003288183,-0.609526552162762,1.372534185984296,1.0814299669333853
-23.157315731573156,-20.0,-1.9471947194719483,-1.9471947194719483,2.6962391718794345,0.12999957880183655,-0.5409093996794762,-0.6095131453571835,1.372534185984296,1.0814299669333853
-23.137313731373137,-20.0,-1.941194119411941,-1.941194119411941,2.705912541321022,0.1306357148223171,-0.5406534040507873,-0.6094996775993691,1.372534185984296,1.0814299669333853
-23.117311731173118,-20.0,-1.9351935193519356,-1.9351935193519356,2.715616025856081,0.13127474179274629,-0.5403966114575731,-0.6094861486366983,1.372534185984296,1.0814299669333853
-23.097309730973095,-20.0,-1.9291929192919302,-1.9291929192919302,2.725349700615125,0.13191667168907717,-0.5401390199115828,-0.609472558215626,1.372534185984296,1.0814299669333853
-23.077307730773075,-20.0,-1.923192319231923,-1.923192319231923,2.735113640844649,0.13256151653107606,-0.5398806274214965,-0.6094589060816792,1.372534185984296,1.0814299669333853
-23.057305730573056,-20.0,-1.9171917191719174,-1.9171917191719174,2.7449079219070494,0.13320928838245855,-0.5396214319929268,-0.6094451919794549,1.372534185984296,1.0814299669333853
-23.037303730373036,-20.0,-1.911191119111912,-1.911191119111912,2.75473261928051,0.13385999935102094,-0.5393614316284226,-0.6094314156526165,1.372534185984296,1.0814299669333853
-23.017301730173017,-20.0,-1.9051905190519065,-1.9051905190519065,2.7645878085589204,0.13451366158877479,-0.5391006243274704,-0.6094175768438915,1.372534185984296,1.0814299669333853
-22.997299729972998,-20.0,-1.8991899189918993,-1.8991899189918993,2.774473565451778,0.1351702872920795,-0.5388390080864973,-0.6094036752950684,1.372534185984296,1.0814299669333853
-22.977297729772975,-20.0,-1.8931893189318938,-1.8931893189318938,2.784389965784081,0.1358298887017773,-0.538576580898874,-0.609389710746994,1.372534185984296,1.0814299669333853
-22.957295729572955,-20.0,-1.8871887188718883,-1.8871887188718883,2.794337085496234,0.13649247810332618,-0.5383133407549165,-0.6093756829395706,1.372534185984296,1.0814299669333853
-22.937293729372936,-20.0,-1.881188118811881,-1.881188118811881,2.804315000643938,0.13715806782693524,-0.5380492856418906,-0.6093615916117526,1.372534185984296,1.0814299669333853
-22.917291729172916,-20.0,-1.8751875187518756,-1.8751875187518756,2.8143237873980977,0.13782667024769893,-0.5377844135440125,-0.609347436501545,1.372534185984296,1.0814299669333853
-22.897289728972897,-20.0,-1.8691869186918701,-1.8691869186918701,2.8243635220447043,0.13849829778573222,-0.537518722442453,-0.6093332173459988,1.372534185984296,1.0814299669333853
-22.877287728772878,-20.0,-1.863186318631863,-1.863186318631863,2.8344342809847505,0.1391729629063061,-0.5372522103153397,-0.6093189338812094,1.372534185984296,1.0814299669333853
-22.857285728572855,-20.0,-1.8571857185718574,-1.8571857185718574,2.8445361407340983,0.1398506781199832,-0.5369848751377599,-0.6093045858423135,1.372534185984296,1.0814299669333853
-22.837283728372835,-20.0,-1.851185118511852,-1.851185118511852,2.854669177923383,0.14053145598275296,-0.5367167148817642,-0.6092901729634856,1.372534185984296,1.0814299669333853
-22.817281728172816,-20.0,-1.8451845184518465,-1.8451845184518465,2.864833469297913,0.14121530909616803,-0.5364477275163677,-0.609275694977936,1.372534185984296,1.0814299669333853
-22.797279727972796,-20.0,-1.8391839183918393,-1.8391839183918393,2.875029091717533,0.14190225010748123,-0.5361779110075551,-0.6092611516179072,1.372534185984296,1.0814299669333853
-22.777277727772777,-20.0,-1.8331833183318338,-1.8331833183318338,2.885256122156531,0.14259229170978152,-0.5359072633182819,-0.6092465426146713,1.372534185984296,1.0814299669333853
-22.757275727572758,-20.0,-1.8271827182718283,-1.8271827182718283,2.8955146377035224,0.14328544664213053,-0.5356357824084785,-0.6092318676985272,1.372534185984296,1.0814299669333853
-22.737273727372735,-20.0,-1.821182118211821,-1.821182118211821,2.9058047155613314,0.143981727689702,-0.5353634662350528,-0.6092171265987977,1.372534185984296,1.0814299669333853
-22.717271727172715,-20.0,-1.8151815181518156,-1.8151815181518156,2.9161264330468666,0.14468114768391652,-0.5350903127518933,-0.6092023190438262,1.372534185984296,1.0814299669333853
-22.697269726972696,-20.0,-1.8091809180918101,-1.8091809180918101,2.9264798675910173,0.14538371950258042,-0.5348163199098724,-0.6091874447609741,1.372534185984296,1.0814299669333853
