Input1,Input2,Output
-91.21912191219121,-7.365736573657366,3.97461417741044e-32
-91.1991199119912,-7.35973597359736,3.6273824051987925e-32
-91.17911791179118,-7.353735373537354,3.309811085651267e-32
-91.15911591159116,-7.347734773477348,3.019425334910994e-32
-91.13911391139114,-7.341734173417342,2.75395177898637e-32
-91.11911191119111,-7.335733573357336,2.5113025617543884e-32
-91.0991099109911,-7.32973297329733,2.2895605884035433e-32
-91.07910791079108,-7.323732373237323,2.0869659115412136e-32
-91.05910591059106,-7.317731773177318,1.9019031739484383e-32
-91.03910391039103,-7.3117311731173125,1.7328900282533377e-32
-91.01910191019101,-7.305730573057306,1.578566459631839e-32
-90.999099909991,-7.2997299729973,1.4376849430695568e-32
-90.97909790979098,-7.293729372937294,1.3091013717589133e-32
-90.95909590959096,-7.287728772877288,1.1917666978838774e-32
-90.93909390939093,-7.281728172817282,1.084719231391958e-32
-90.91909190919091,-7.275727572757276,9.870775463841068e-33
-90.8990899089909,-7.26972697269727,8.980339484993556e-33
-90.87908790879088,-7.263726372637263,8.168484601438369e-33
-90.85908590859086,-7.257725772577258,7.428432836365212e-33
-90.83908390839083,-7.2517251725172525,6.753977053352853e-33
-90.81908190819082,-7.245724572457246,6.1394340657815776e-33
-90.7990799079908,-7.23972397239724,5.5796014984621824e-33
-90.77907790779078,-7.233723372337234,5.069718109373066e-33
-90.75907590759076,-7.227722772277228,4.605427301494982e-33
-90.73907390739073,-7.221722172217222,4.182743575197063e-33
-90.71907190719072,-7.215721572157216,3.798021690590177e-33
-90.6990699069907,-7.20972097209721,3.447928326838222e-33
-90.67906790679068,-7.203720372037203,3.129416041678167e-33
-90.65906590659066,-7.197719771977198,2.8396993494697278e-33
-90.63906390639065,-7.1917191719171925,2.576232750035152e-33
-90.61906190619062,-7.185718571857186,2.3366905534608486e-33
-90.5990599059906,-7.17971797179718,2.1189483579692968e-33
-90.57905790579058,-7.173717371737174,1.9210660490251073e-33
-90.55905590559055,-7.167716771677168,1.741272198053895e-33
